2018-10-28 17:01:52,651 [Worker-64] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:03:06,512 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:03:06,520 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:03:06,522 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:03:06,527 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:24:19,740 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-10-28 17:25:01,917 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Cognizant_Project:Cognizant_Project:0.0.1-SNAPSHOT @ C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\pom.xml.
2018-10-28 17:25:10,880 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Cognizant_Project:Cognizant_Project:0.0.1-SNAPSHOT @ C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\pom.xml.
2018-10-28 17:26:03,094 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:03,160 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:26:06,005 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Cognizant_Project:Cognizant_Project:0.0.1-SNAPSHOT @ C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\pom.xml.
2018-10-28 17:26:06,028 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:06,033 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:26:22,070 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:22,075 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:26:22,078 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:22,083 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:26:25,111 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:25,118 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:26:25,122 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:25,127 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:26:33,682 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:33,718 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:26:33,720 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:26:33,725 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:27:40,686 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:27:40,694 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:27:40,700 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:27:40,705 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\test\resources
2018-10-28 17:28:05,097 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 17:28:05,114 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\vogue_000\Desktop\Cognizant\Cognizant_Project\src\main\resources
2018-10-28 17:28:05,116 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
